,misinfo,topic,polling_firm,sponsor,academic_comm,date,question,link,correct,leaning correct,incorrect,leaning incorrect,dk,not sure,refused_na,no opinion,undecided,misinformation,n_options,explicit_dk,explicit_ns,matter_of_opinion,n,mode,l_congenial_options,r_congenial_options,correct_valence ,prompt_type ,ire,footnotes
194,Y,GW Happening Cause,CBS News/New York Times,CBS News/New York Times,0,09/10-14/14,"Which statement comes closest to your view about global warming? Global warming is caused mostly by human activity such as burning fossil fuels. Global warming is caused mostly by natural patterns in the earth's environment. OR, Global warming does not exist.",http://www.pollingreport.com/enviro.htm,54,0,44,0,2,0,0,0,0,,3,N,N,Y,"1,000",online,,,,CTYV,N,Don't know what causes it/Unsure (2%)
28,Y,Obama Religion,CBS News/New York Times,CBS News/New York Times,0,10/10-13/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=October 10-13, 2008&sample=1070&qstn_list=&qstnid=1718044&qa_list=&qstn_id4=1718044&study_list=&lastSearchId=317673058582&archno=USCBSNYT2008-10B&keywordDisplay=",26,0,17,0,57,0,0,0,0,,0,N,N,Y,"1,070",telephone,,,L,DYK,N,Don't know/No answer (57%)
35,Y,Obama Religion,CBS News/New York Times,CBS News/New York Times,0,05/01-03/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=May 1-3, 2008&sample=671&qstn_list=&qstnid=1704520&qa_list=&qstn_id4=1704520&study_list=&lastSearchId=317673058825&archno=USCBSNYT2008-05A&keywordDisplay=",22,0,18,0,60,0,0,0,0,,0,N,N,Y,671,telephone,,,L,DYK,N,Don't know/No answer (60%)
169,Y,Crime Illegal Imm.,CBS News/New York Times,CBS News/New York Times,0,09/09-13/16,"Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely, or about as likely to commit crimes as American citizens?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=how AND  likely AND  do AND  you AND  think AND  illegal AND  immigrants AND  are AND  to AND  commit AND  crimes&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=01-JAN-34&sample=1753&qstn_list=&qstnid=1885013&qa_list=&qstn_id4=1885013&study_list=&lastSearchId=317673102458&archno=&keywordDisplay=,14,0,84,0,2,0,0,0,0,,3,N,N,Y,"1,753",telephone,,,,DYT,N,Don't know/No answer (2%)
173,Y,Crime Illegal Imm.,CBS News/New York Times,CBS News/New York Times,0,05/18-23/07,"Compared to American citizens, how likely do you think illegal immigrants are to commit crimes--are illegal immigrants more likely, less likely or about as likely to commit crimes as American citizens?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=how AND  likely AND  do AND  you AND  think AND  illegal AND  immigrants AND  are AND  to AND  commit AND  crimes&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=May 18-23, 2007&sample=1125&qstn_list=&qstnid=1682686&qa_list=&qstn_id4=1682686&study_list=&lastSearchId=317673102588&archno=USCBSNYT2007-05A&keywordDisplay=",14,0,83,0,3,0,0,0,0,,3,N,N,Y,"1,125",telephone,,,,DYT,N,Don't know/No answer (3%)
5,Y,Obama Citizenship,CBS News/New York Times,,0,04/15-20/11,"According to the Constitution, American presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=according AND  to AND  the constitution AND  american AND  presidents AND  must AND  be AND  natural AND  born citizens AND  some AND  people AND  say AND  barack AND  obama&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 15-20, 2011&sample=1224&qstn_list=&qstnid=1784518&qa_list=&qstn_id4=1784518&study_list=&lastSearchId=317673058339&archno=USCBSNYT2011-04A&keywordDisplay=",57,0,25,0,18,0,0,0,0,,2,N,N,Y,"1,224",telephone,,,L,DYT,Y,Don't know/No answer (18%)
11,Y,Obama Citizenship,CBS News/New York Times,CBS News/New York Times,0,04/05-12/10,"According to the Constitution, American Presidents must be 'natural born citizens.' Some people say Barack Obama was not born in the United States, but was born in another country. Do you think Barack Obama was born in the United States, or do you think he was born in another country?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=according AND  to AND  the constitution AND  american AND  presidents AND  must AND  be AND  natural AND  born citizens AND  some AND  people AND  say AND  barack AND  obama&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 5-12, 2010&sample=1580&qstn_list=&qstnid=1760705&qa_list=&qstn_id4=1760705&study_list=&lastSearchId=317673058342&archno=USCBSNYT2010-04A&keywordDisplay=",58,0,20,0,22,0,0,0,0,,2,N,N,Y,"1,580",telephone,,,L,DYT,Y,Don't know/No answer (22%)
195,Y,GW Happening Cause,CNN/ORC,CNN/ORC,0,01/14-15/13,Which of the following statements comes closest to your view of global warming? Global warming is a proven fact and is mostly caused by emissions from cars and industrial facilities such as power plants and factories. Global warming is a proven fact and is mostly caused by natural changes that have nothing to do with emissions from cars and industrial facilities. Global warming is a theory that has not yet been proven.,http://www.pollingreport.com/enviro.htm,49,0,47,0,0,3,0,0,0,,3,N,N,Y,814,online,,,,CTYV,N,
254,Y,GW Happening Cause,Economist/YouGov,Economist/YouGov,0,06/04-06/17,"On the subject of climate change do you think: (A) The world¨s climate is changing as a result of human activity; (B) The world¨s climate is changing but NOT
because of human activity; (C) The world¨s climate is NOT changing",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,63,0,37,0,0,0,0,0,0,,3,N,N,Y,"1,500",online,,,,DYT,N,
255,Y,GW Scientist Agreement,Economist/YouGov,Economist/YouGov,0,06/04-06/17,"To the best of your knowledge, do you think there is a consensus in the scientific community that climate change is occurring and is mainly caused by human activity?",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,58,0,22,0,0,20,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
244,Y,Obama Illegal Wiretapping,Economist/YouGov,Economist/YouGov,0,03/06-07/17,Do you think it is true or false that former President Obama ordered wire taps on Donald Trump's phones?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/9deo3n58va/econTabReport.pdf,29,21,9,21,0,20,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (9%), Probably true (21%), Probably false (21%), Definitely false (29%)"
247,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/15-18/17,Do you think Donald Trump himself did anything improper in his dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tkeqcl9vz3/econTabReport.pdf,44,0,33,0,0,23,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
248,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/15-18/17,Do you think Donald Trump himself did anything illegal in his dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tkeqcl9vz3/econTabReport.pdf,39,0,36,0,0,26,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
249,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,06/04-06/17,Political Accusations - Russia hacked the email of Democrats in order to increase the chance that Donald Trump would win the Presidential election. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,26,29,17,28,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (26%), Probably true (29%), Probably not true (28%), Definitely not true (17%)"
251,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,06/04-06/17,Political Accusations - Russia tampered with vote tallies in order to get Donald Trump elected President. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,13,25,27,35,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (13%), Probably true (25%), Probably not true (35%), Definitely not true (27%)"
252,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,06/04-06/17,Do you think any member of the Trump Administration did anything improper in their dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,45,0,28,0,0,26,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
253,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,06/04-06/17,Do you think any member of the Trump Administration did anything illegal in their dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,42,0,30,0,0,28,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
256,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,05/13-16/17,Conspiracy Theories - Russia hacked the email of Democrats in order to increase the chance that Donald Trump would win the Presidential election. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r7qogc932v/econTabReport.pdf,20,34,16,30,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (20%), Probably true (34%), Probably not true (30%), Definitely not true (16%)"
258,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,05/13-16/17,Conspiracy Theories - Russia tampered with vote tallies in order to get Donald Trump elected President. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r7qogc932v/econTabReport.pdf,11,24,27,38,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (11%), Probably true (24%), Probably not true (38%), Definitely not true (27%)"
259,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/31/17-08/01/17,Do you think Donald Trump himself did anything improper in his dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tn9k94h20u/econTabReport.pdf,42,0,35,0,0,23,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
260,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/31/17-08/01/17,Do you think Donald Trump himself did anything illegal in his dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tn9k94h20u/econTabReport.pdf,38,0,37,0,0,25,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
261,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/09-11/17,Conspiracy Theories - Russia hacked the email of Democrats in order to increase the chance that Donald Trump would win the Presidential election. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/38eszqtohw/econTabReport.pdf,28,29,17,26,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (28%), Probably true (29%), Probably not true (26%), Definitely not true (17%)"
263,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/09-11/17,Conspiracy Theories - Russia tampered with vote tallies in order to get Donald Trump elected President. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/38eszqtohw/econTabReport.pdf,15,25,27,33,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (15%), Probably true (25%), Probably not true (33%), Definitely not true (27%)"
264,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/09-11/17,Do you think Donald Trump himself did anything improper in his dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/38eszqtohw/econTabReport.pdf,34,0,40,0,0,26,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
265,Y,Russia Meddling,Economist/YouGov,Economist/YouGov,0,07/09-11/17,Do you think Donald Trump himself did anything illegal in his dealings with Russian officials before the Inauguration?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/38eszqtohw/econTabReport.pdf,33,0,42,0,0,26,0,0,0,,0,N,N,Y,"1,500",online,,,,DYT,N,
250,Y,Voter Fraud 2016,Economist/YouGov,Economist/YouGov,0,06/04-06/17,Political Accusations - Millions of illegal votes were cast in the election. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lssamz3o6b/econTabReport.pdf,27,29,12,31,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (12%), Probably true (31%), Probably not true (29%), Definitely not true (27%)"
257,Y,Voter Fraud 2016,Economist/YouGov,Economist/YouGov,0,05/13-16/17,Conspiracy Theories - Millions of illegal votes were cast in the election. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/r7qogc932v/econTabReport.pdf,27,29,10,33,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (10%), Probably true (33%), Probably not true (29%), Definitely not true (27%)"
262,Y,Voter Fraud 2016,Economist/YouGov,Economist/YouGov,0,07/09-11/17,Conspiracy Theories - Millions of illegal votes were cast in the election. Do you think the following statements are true or not true?,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/38eszqtohw/econTabReport.pdf,28,26,17,29,0,0,0,0,0,,2,N,N,Y,"1,500",online,,,,DYT,N,"Definitely true (17%), Probably true (29%), Probably not true (26%), Definitely not true (28%)"
189,Y,GW Happening Cause,Gallup Organization,Gallup Organization,0,03/02-06/16,"And from what you have heard or read, do you believe increases in the Earth's temperature over the last century are due more to the effects of pollution from human activities, or natural changes in the environment that are not due to human activities? (Options rotated)",http://www.pollingreport.com/enviro.htm,65,0,31,0,0,4,0,0,0,,2,N,N,Y,"1,019",online,,,,DYB,N,
146,Y,Vaccines,Gallup Organization,Gallup Organization,0,02/28/15-03/01/15,"From what you have read or heard, do you personally think certain vaccines do--or do not--cause autism in children, or are you unsure?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=vaccines&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=February 28-March 1, 2015&sample=1015&qstn_list=&qstnid=1860429&qa_list=&qstn_id4=1860429&study_list=&lastSearchId=317673097429&archno=USAIPOGNS2015-TR0228&keywordDisplay=",41,0,6,0,0,52,0,0,0,,3,N,Y,Y,"1,015",telephone,,,,DYPT,N,
3,Y,Obama Citizenship,Gallup Organization,Gallup/CNN/USA Today,0,05/05-08/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=May 5-8, 2011&sample=1018&qstn_list=&qstnid=1785885&qa_list=&qstn_id4=1785885&study_list=&lastSearchId=317673058229&archno=USAIPOGNS2011-09&keywordDisplay=",47,18,5,8,20,0,1,0,0,5,5,Y,N,Y,"1,018",telephone,,,L,DYT,N,"definitely born in US (47%), probably born in US (18%), probably born in another country (8%), definitely born in another country (5%), don't know enough to say (20%), no answer (1%)"
4,Y,Obama Citizenship,Gallup Organization,Gallup/CNN/USA Today,0,04/20-23/11,"Do you think Barack Obama was definitely born in the United States, probably born in the United States, probably born in another country, definitely born in another country, or don't you know enough to say?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=do AND  you AND  think AND  barack AND  obama AND  was AND  definitely AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  the AND  united states AND  probably AND  born AND  in AND  another country or definitely AND  born AND  in AND  another AND  country&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=April 20-23, 2011&sample=1013&qstn_list=&qstnid=1786033&qa_list=&qstn_id4=1786033&study_list=&lastSearchId=317673058326&archno=USAIPOUSA2011-07&keywordDisplay=",38,18,9,15,19,0,1,0,0,9,5,Y,N,Y,"1,013",telephone,,,L,DYT,N,"definitely born in US (38%), probably born in US (18%), probably born in another country (15%), definitely born in another country (9%), don't know enough to say (19%), no answer (1%)"
190,Y,GW Happening Cause,Gallup Organization,Gallup Organization,0,03/02-06/16,"Assuming these reports are accurate, do you think the record temperatures in 2015 were mainly due to human-caused climate change, or to natural changes in the Earth's temperatures? (Options rotated)",http://www.pollingreport.com/enviro.htm,49,0,48,0,0,3,0,0,0,,2,N,N,Y,"1,019",online,,,,DYT,N,
95,Y,Iraq 9/11,Gallup Organization,CNN/USA Today,0,06/21-23/04,"Do you think Saddam Hussein was personally involved in the September 11th (2001) terrorist attacks (on the World Trade Center and the Pentagon), or not?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=was AND  personally AND  involved AND  in AND  the AND  september AND  11th AND  terrorist attacks&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Cable News Network, USA Today&studydate=June 21-23, 2004&sample=1005&qstn_list=&qstnid=518027&qa_list=&qstn_id4=518027&study_list=&lastSearchId=317673068694&archno=USAIPOCNUS2004-21&keywordDisplay=",51,0,44,0,0,0,0,5,0,,2,N,N,Y,"1,005",telephone,0,1,L,DYT,N,
97,Y,Iraq 9/11,Gallup Organization,CNN/USA Today,0,12/15-16/03,"Do you think Saddam Hussein [suh-DAHM WHO-sane] was personally involved in the September 11th terrorist attacks, or not?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=was AND  personally AND  involved AND  in AND  the AND  september AND  11th AND  terrorist attacks&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Cable News Network, USA Today&studydate=December 15-16, 2003&sample=1000&qstn_list=&qstnid=507319&qa_list=&qstn_id4=507319&study_list=&lastSearchId=317673068754&archno=USAIPOCNUS2003-55&keywordDisplay=",42,0,53,0,0,0,0,5,0,,2,N,N,Y,"1,000",telephone,0,1,L,DYT,N,
96,Y,Iraq Al Qaeda,Gallup Organization,CNN/USA Today,0,06/21-23/04,Do you think Saddam Hussein did--or did not--have long-established ties to Osama bin Laden's terrorist organization known as al Qaeda?,"https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=have long established AND  ties AND  to&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Cable News Network, USA Today&studydate=June 21-23, 2004&sample=1005&qstn_list=&qstnid=518028&qa_list=&qstn_id4=518028&study_list=&lastSearchId=317673068715&archno=USAIPOCNUS2004-21&keywordDisplay=",28,0,67,0,0,0,0,5,0,,2,N,N,Y,"1,005",telephone,0,1,L,DYT,N,
239,Y,Voter Fraud 2016,Gallup Organization,Gallup Organization,0,11/28-29/16,"From what you have heard or read, who won the national popular vote this year (2016)--that is, the most votes in the country overall--Hillary Clinton or Donald Trump, or are you unsure?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=trump AND  popular AND  vote&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=&studydate=01-JAN-34&sample=1021&qstn_list=&qstnid=1889498&qa_list=&qstn_id4=1889498&study_list=&lastSearchId=317673244055&archno=&keywordDisplay=,66,0,15,0,0,18,1,0,0,,3,N,Y,Y,"1,021",telephone,,,,FWYH,N,No answer (1%); landline(40%)/cellular(60%)
188,Y,GW Happening,Gallup Organization,Gallup Organization,0,03/02-06/16,"Which of the following statements reflects your view of when the effects of global warming will begin to happen? They have already begun to happen. They will start happening within a few years. They will start happening within your lifetime. They will not happen within your lifetime, but they will affect future generations. OR, They will never happen. (Options rotated. ""Unsure"" response not shown.)",http://www.pollingreport.com/enviro.htm,59,0,41,0,0,0,0,0,0,,5,N,N,N,"1,019",online,,,,N/A,N,
206,Y,Obama Citizenship,GfK Knowledge Networks,AP,0,08/30/12-09/11/12,"Where was Barack Obama born, as far as you know? (If No answer, ask:) Is it your best guess that Obama was born in the United States, or in another country?",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  was AND  born AND  in AND  the AND  united AND  states&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Associated Press&studydate=01-JAN-34&sample=1071&qstn_list=&qstnid=1823596&qa_list=&qstn_id4=1823596&study_list=&lastSearchId=317673196359&archno=&keywordDisplay=,49,0,38,0,0,0,12,0,0,,0,N,N,Y,"1,017",online,,,,AFYK,N,Refused/Not answered (12%)
15,Y,Obama Religion,GfK Knowledge Networks,AP,0,08/30/12-09/11/12,"Do you happen to know the religion of each of the following people? If you don't know, you can mark that too・Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion・Barack Obama",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Associated Press&studydate=01-JAN-34&sample=1071&qstn_list=&qstnid=1822656&qa_list=&qstn_id4=1822656&study_list=&lastSearchId=317673058505&archno=&keywordDisplay=,28,0,35,0,35,0,2,0,0,,6,Y,N,Y,"1,071",online,,,L,DYHTK,N,Refused/Not answerd (2%)
143,Y,GW Happening,GfK Public Affairs & Corporate Communications,AP,0,10/03-07/13,"What is your personal opinion? Do you think that the world's temperature: probably has been going up over the past 100 years, probably has not been going up over the past 100 years",pdf,74,0,24,0,0,0,2,0,0,,2,N,N,Y,"1,227",online,,,,DYT,N,Refused/Not answered (2%) 
203,Y,Obama Religion,Greenberg Quinlan Rosner Research,Democracy Corps.,0,06/22-25/08,"(Now, I am going to read you a list of words and phrases which people use to describe political figures. For each word or phrase, please tell me whether it describes Barack Obama very well, well, not too well, or not well at all.)...Is a Muslim",https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  muslim&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=Democracy Corps&studydate=01-JAN-34&sample=2008&qstn_list=&qstnid=1710120&qa_list=&qstn_id4=1710120&study_list=&lastSearchId=317673196172&archno=&keywordDisplay=,47,0,46,0,7,0,0,0,0,,4,N,N,N,"2,008",telephone,,,,N/A,N,"Very well (9%), Well (15%), Not too well (22%), Not well at all (47%), Don't know/Refused (7%)"
17,Y,Obama Religion,Hart and McInturff Research Companies,NBC News/WSJ,0,06/20-24/12,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=NBC News, Wall Street Journal&studydate=01-JAN-34&sample=1000&qstn_list=&qstnid=1813239&qa_list=&qstn_id4=1813239&study_list=&lastSearchId=317673058522&archno=&keywordDisplay=",43,0,17,0,0,40,0,0,0,,0,N,N,Y,"1,000",telephone,,,L,DYK,N,Not sure/Refused (40%)
39,Y,Obama Religion,Hart and McInturff Research Companies,NBC News/WSJ,0,03/07-10/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=NBC News, Wall Street Journal&studydate=March 7-10, 2008&sample=1012&qstn_list=&qstnid=1702119&qa_list=&qstn_id4=1702119&study_list=&lastSearchId=317673058825&archno=USNBCWSJ2008-6080&keywordDisplay=",37,0,19,0,0,44,0,0,0,,0,N,N,Y,"1,012",telephone,,,L,DYK,N,Not sure/Refused (44%)
31,Y,Obama Religion,Hart and Newhouse Research Companies,NBC News/WSJ,0,07/18-21/08,"Do you know what Barack Obama's religion is? (If Yes, ask:) What religion is he?","https://ropercenter.cornell.edu/CFIDE/cf/action/ipoll/questionDetail.cfm?keyword=obama AND  religion&keywordoptions=1&exclude=&excludeOptions=1&topic=Any&organization=Any&label=&fromdate=1/1/1935&toDate=&stitle=&sponsor=NBC News, Wall Street Journal&studydate=July 18-21, 2008&sample=1074&qstn_list=&qstnid=1711566&qa_list=&qstn_id4=1711566&study_list=&lastSearchId=317673058582&archno=USNBCWSJ2008-6084&keywordDisplay=",48,0,13,0,0,39,0,0,0,,0,N,N,Y,"1,074",telephone,,,L,DYK,N,"Not sure/Refused (39%); Protestant (48%), Catholic (2%), Muslim (8%), Other (2%), None (1%)"
222,Y,Crime Illegal Imm.,ICR-International Communications Research,Kaiser Family Foundation/Harvard University's Kennedy School of Government,0,05/27/04-08/02/04,"(As you may know, immigrants to the United States can be here legally--that is, they have been legally admitted to the country and are allowed to live and work here--or they can be here illegally. Such immigrants are sometimes called 'undocumented' because they do not have papers allowing them to live and work here.)...(And now a few questions about recent undocumented immigrants--that is, immigrants who are here illegally.)...And do you think they have been more likely to commit crimes than native-born Americans, less likely or about as likely to commit crimes as native-born Americans?",http://www.kff.org/interactive/question-finder/?QSTN_ID2=1628283&QSTN_ID2=1612185&qid=+1628283+1612185&pid=4&ccid=4&x=40&y=7,20,0,77,0,3,0,0,0,0,,3,N,N,Y,"1,888",telephone,,,,DYT,Y,
223,Y,Crime Illegal Imm.,ICR-International Communications Research,Kaiser Family Foundation/Harvard University's Kennedy School of Government,0,05/27/04-08/02/04,"(As you may know, immigrants to the United States can be here legally--that is, they have been legally admitted to the country and are allowed to live and work here--or they can be here illegally. Such immigrants are sometimes called 'undocumented' because they do not have papers allowing them to live and work here.)...And do you think they have been more likely to commit crimes than native-born Americans, less likely or about as likely to commit crimes as native-born Americans?",http://www.kff.org/interactive/question-finder/?QSTN_ID2=1612182&qid=+1612182&pid=4&ccid=4&x=86&y=12,22,0,74,0,3,0,0,0,0,,3,N,N,Y,"1,888",telephone,,,,DYT,Y,
